index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
84495,408-7604880-7669946,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,4XL,Shipped,1,INR,486.0,PUDUCHERRY,PUDUCHERRY,605010.0,IN,False,Not Specified
84496,406-4531394-6146734,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,486.0,Bengaluru,KARNATAKA,560048.0,IN,False,Not Specified
84497,404-2629893-8983563,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Trousers,XS,Shipped,1,INR,487.0,ROHTAK,HARYANA,124001.0,IN,False,Not Specified
84499,405-7179102-6780327,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,916.0,Jaitpuri patelpara,CHHATTISGARH,494226.0,IN,False,Not Specified
84500,408-7631051-4225161,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1523.0,Etah,UTTAR PRADESH,207001.0,IN,False,Not Specified
84501,404-4459349-6795542,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399.0,Pulimath kilimanoor,KERALA,695612.0,IN,False,Not Specified
84502,407-9085965-3438729,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,329.0,lucknow,UTTAR PRADESH,226023.0,IN,False,Not Specified
84503,402-9111836-3393135,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,799.0,PUNE,MAHARASHTRA,411057.0,IN,False,Not Specified
84504,402-0430063-2970726,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,597.0,PUNE,MAHARASHTRA,411057.0,IN,False,Not Specified
84505,408-5757795-5877131,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399.0,ADALAJ,Gujarat,382421.0,IN,False,Not Specified
84506,406-7943404-7769932,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,376.0,MUMBAI,MAHARASHTRA,400012.0,IN,False,Easy Ship
84507,403-6749107-4946706,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,788.0,ARARIA,BIHAR,854311.0,IN,False,Easy Ship
84508,171-8797602-8270764,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,625.0,JAIPUR,RAJASTHAN,302020.0,IN,False,Easy Ship
84509,404-8260056-4375558,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,499.0,BENGALURU,KARNATAKA,560060.0,IN,False,Easy Ship
84510,403-3457382-5527501,2022-04-05,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,376.0,Edappally,KERALA,682024.0,IN,False,Not Specified
84511,402-5271166-1585153,2022-04-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,771.0,GHAZIABAD,UTTAR PRADESH,201005.0,IN,False,Easy Ship
